;Spot Check Item Value List
Toys & Games,LATE FOR THE SKY PRODUCTION CO,429039,GAME NEW YORKOPOLY,26,12.5,29.95,325,778.7,
Toys & Games,LATE FOR THE SKY PRODUCTION CO,334776,GAME AMERICAOPOLY,4,12.5,29.95,50,119.8,
02-Other Publications,"PEACHTREE PUBLISHERS, LTD",276246,FAULT LINES IN CONSTITUTION,14,8.223,14.95,115.122,209.3,
Toys & Games,HAYWOOD STUDIOS INC,349799,CARD GAME NATIONAL PARK WAR,2,5.456,12.95,10.912,25.9,
Toys & Games,HAYWOOD STUDIOS INC,387647,GAME CRAZY STATES,10,5.494,12.95,54.94,129.5,
Crafts & Hobbies,"4D CITYSCAPE, INC.",438087,PUZZLE 4D CITYSCAPE USA,63,21,49.95,1323,3146.85,
Crafts & Hobbies,"4D CITYSCAPE, INC.",342853,PUZZLE HISTORY OVER TIME 4D,49,21,49.95,1029,2447.55,
Crafts & Hobbies,"4D CITYSCAPE, INC.",383300,PUZZLE MINI NYC 4D,46,7.5,24.95,345,1147.7,
Commemorative,LANTERN PRESS LLC,438797,POSTCARD WOOD LIBERTY ,63,1.247,3.95,78.561,248.85,
Commemorative,LANTERN PRESS LLC,343548,MAGNET SOL TORCH,187,2.2488,5.95,420.5256,1112.65,
Commemorative,LANTERN PRESS LLC,343492,MAGNET SOL NY,150,2.25,5.95,337.5,892.5,
Paper Products,LANTERN PRESS LLC,430021,POSTCARD SOL NAVY,274,0.252,0.92,69.048,252.08,
Paper Products,LANTERN PRESS LLC,430022,POSTCARD SOL BLUE,270,0.259,0.92,69.93,248.4,
For The Home,LANTERN PRESS LLC,438789,COASTER LIBERTY CERAMIC,59,1.841,4.95,108.619,292.05,
Paper Products,LANTERN PRESS LLC,430024,POSTCARD SOL TORCH,204,0.25,0.92,51,187.68,
Commemorative,LANTERN PRESS LLC,343378,MAGNET SOL BLUE CLOUDS,157,2.056,5.95,322.792,934.15,
Paper Products,LANTERN PRESS LLC,430025,POSTCARD SOL BLUE CLOUDS,162,0.23,0.92,37.26,149.04,
Commemorative,LANTERN PRESS LLC,343542,MAGNET SOL BLUE,278,2.072,5.95,576.016,1654.1,
Paper Products,LANTERN PRESS LLC,438791,STICKER LARGE LIBERTY,148,1.206,3.95,178.488,584.6,
Commemorative,LANTERN PRESS LLC,343541,MAGNET SOL TECHNICAL,245,2.25,5.95,551.25,1457.75,
Paper Products,LANTERN PRESS LLC,430023,POSTCARD SOL TECHNICAL,244,0.248,0.92,60.512,224.48,
02-Other Publications,PETER MORTON COAN,263983,TOWARD A BETTER LIFE,5,14.3,26,71.5,130,
Passport,"TIPSY, INC",430531,HOODIE PASSPORT ELLIS SM,31,17.477,39.95,541.787,1238.45,
Passport,"TIPSY, INC",430534,HOODIE PASSPORT ELLIS XL,79,16.774,39.95,1325.146,3156.05,
Passport,"TIPSY, INC",430535,HOODIE PASSPORT ELLIS 2X,15,18.399,39.95,275.985,599.25,
Passport,"TIPSY, INC",430532,HOODIE PASSPORT ELLIS MD,38,17.41,39.95,661.58,1518.1,
Passport,"TIPSY, INC",430533,HOODIE PASSPORT ELLIS LG,39,17.389,39.95,678.171,1558.05,
04-Reproduction Items,FASCINATIONS INC.,420302,MODEL EMPIRE STATE BUILDING,121,3,12.95,363,1566.95,
04-Reproduction Items,FASCINATIONS INC.,420301,MODEL CHRYSLER BUILDING,112,3,12.95,336,1450.4,
04-Reproduction Items,FASCINATIONS INC.,420304,MODEL ONE WORLD TRADE CENTER,179,3,12.95,537,2318.05,
04-Reproduction Items,FASCINATIONS INC.,420305,MODEL BROOKLYN BRIDGE,192,5,14.95,960,2870.4,
04-Reproduction Items,FASCINATIONS INC.,420299,MODEL TITANIC SHIP,75,5,12.95,375,971.25,
04-Reproduction Items,FASCINATIONS INC.,426575,MODEL ROCKFELLER BUILDING,64,5,12.95,320,828.8,
02-Other Publications,SLEEPING BEAR PRESS,274198,E IS FOR EMPIRE,11,9.887,17.95,108.757,197.45,
Multimedia,GRACE GUGGENHEIM PRODUCTIONS L,327427,DVD ISLAND OF HOPE,17,11.97,21.95,203.49,373.15,
Passport,AMERICAN MARKETING,425945,TEE PASSPORT ELLIS NVY 3X,38,12.25,24.95,465.5,948.1,
Passport,AMERICAN MARKETING,425944,TEE PASSPORT ELLIS NVY 2X,11,11.25,24.95,123.75,274.45,
Commemorative,AMERICAN MARKETING,436818,WATER BOTTLE RED PPRT ST/EL,153,2.039,5.95,311.967,910.35,
Passport,AMERICAN MARKETING,430552,WATER BOTTLE PASSPORT BLUE DNR,12,1.95,5.95,23.4,71.4,
Commemorative,AMERICAN MARKETING,436817,WATER BOTTLE TEAL PPRT ST/EL,98,2.042,5.95,200.116,583.1,
Passport,AMERICAN MARKETING,425941,TEE PASSPORT ELLIS NVY MD,15,9.75,24.95,146.25,374.25,
Passport,AMERICAN MARKETING,425940,TEE PASSPORT ELLIS NVY SM,9,9.75,24.95,87.75,224.55,
Commemorative,AMERICAN MARKETING,436816,WATER BOTTLE FUSHIA PPRT ST EL,120,2.045,5.95,245.4,714,
Passport,AMERICAN MARKETING,425943,TEE PASSPORT ELLIS NVY XL,69,9.75,24.95,672.75,1721.55,
Passport,AMERICAN MARKETING,425942,TEE PASSPORT ELLIS NVY LG,3,9.75,24.95,29.25,74.85,
Toys & Games,WILD REPUBLIC,350552,"PLUSH BISON CK 12""",30,6.773,14.95,203.19,448.5,
Toys & Games,WILD REPUBLIC,352421,"PLUSH BALD EAGLE CK 12""",112,7.812,21.95,874.944,2458.4,
Commemorative,"HOGEYE, INC",424577,MAGNET STLI BLUE BACKGROUND,130,2.752,5.95,357.76,773.5,
Commemorative,"HOGEYE, INC",345225,HIKE MEDAL SOL BLUE BACKROUND,182,2.47,5.95,449.54,1082.9,
Commemorative,"HOGEYE, INC",341662,PIN ELLIS ISLAND NY HARBOR,100,2.107,5.95,210.7,595,
Passport,"HOGEYE, INC",378058,PATCH PASSPORT DNR,25,1.805,5.95,45.125,148.75,
Commemorative,"HOGEYE, INC",345222,HIKE MEDAL ELLIS NY HARBOR,190,2.423,5.95,460.37,1130.5,
04-Reproduction Items,"HOGEYE, INC",417957,COIN 1892 GOLD ANNIE MOORE,90,3.05,9.95,274.5,895.5,
Commemorative,"HOGEYE, INC",337000,PATCH ELLIS ISLAND,102,2.032,5.95,207.264,606.9,
Commemorative,"HOGEYE, INC",424571,KEYCHAIN ELLIS ISLAND TOWER,244,2.319,5.95,565.836,1451.8,
Commemorative,"HOGEYE, INC",345224,HIKE MEDAL SOL RED ARCH,195,2.47,5.95,481.65,1160.25,
Commemorative,"HOGEYE, INC",424569,HIKE MEDAL ELLIS ISLAND,187,2.453,5.95,458.711,1112.65,
Commemorative,"HOGEYE, INC",342012,ANP HIKE MEDAL SUPPORTER DNR,1,2.246,5.95,2.246,5.95,
Commemorative,"HOGEYE, INC",342010,ANP MAGNET SUPPORTER DNR,6,2.517,5.95,15.102,35.7,
Commemorative,"HOGEYE, INC",334667,PATCH SOL RED ARCH,165,2.07,5.95,341.55,981.75,
Commemorative,"HOGEYE, INC",424578,ORNAMENT STLI BLUE BACKGROUND,103,4.352,9.95,448.256,1024.85,
Commemorative,"HOGEYE, INC",345221,HIKE MEDAL ELLIS TOWER,179,2.47,6.95,442.13,1244.05,
Commemorative,"HOGEYE, INC",424575,ORNAMENT STLI RED ARCH,101,4.378,9.95,442.178,1004.95,
Commemorative,"HOGEYE, INC",424574,ORNAMENT ELLIS ISLAND NEW YORK,49,4.271,9.95,209.279,487.55,
Commemorative,"HOGEYE, INC",334666,PIN SOL RED ARCH,83,2.046,5.95,169.818,493.85,
Commemorative,"HOGEYE, INC",334669,PIN SOL BLUE BACKGROUND,201,1.955,5.95,392.955,1195.95,
Commemorative,"HOGEYE, INC",341661,PATCH ELLIS ISLAND TOWER,149,2.211,5.95,329.439,886.55,
Commemorative,"HOGEYE, INC",341660,PIN ELLIS ISLAND TOWER,271,2.118,5.95,573.978,1612.45,
Commemorative,"HOGEYE, INC",424570,ORNAMENT ELLIS ISLAND,50,4.277,9.95,213.85,497.5,
Commemorative,"HOGEYE, INC",424573,ORNAMENT ELLIS ISLAND TOWER,103,4.318,9.95,444.754,1024.85,
Commemorative,"HOGEYE, INC",334665,PATCH SOL BLUE BACKGROUND,130,2.07,5.95,269.1,773.5,
Commemorative,"HOGEYE, INC",341663,PATCH ELLIS ISLAND NY HARBOR,106,2.238,5.95,237.228,630.7,
Commemorative,"HOGEYE, INC",424572,MAGNET ELLIS ISLAND TOWER,282,2.754,5.95,776.628,1677.9,
Commemorative,"HOGEYE, INC",336999,PIN ELLIS ISLAND,209,2.067,5.95,432.003,1243.55,
Commemorative,"HOGEYE, INC",424576,KEYCHAIN STLI BLUE BACKGROUND,261,1.873,5.95,488.853,1552.95,
Commemorative,"HOGEYE, INC",341957,KEYCHAIN SOL ELLIS SPINNER,201,2.986,11.95,600.186,2401.95,
Paper Products,"HYGLOSS PRODUCTS, INC.",259905,PASSPORT BOOK (BLANK PAGES),122,0.5,1.95,61,237.9,
02-Other Publications,"HYGLOSS PRODUCTS, INC.",259922,PASSPORT TO YOUR PAST,33,1.25,2.49,41.25,82.17,
02-Other Publications,INGRAM PUBLISHER SERVICES,274199,TRANSPLANTED A HISTORY ,3,20.9,22,62.7,66,
02-Other Publications,INGRAM PUBLISHER SERVICES,259945,TRIANGLE FIRE CHANGED AMERICA,21,8.549,17,179.529,357,
02-Other Publications,INGRAM PUBLISHER SERVICES,275367,LIBERTY'S TORCH,17,8.5,17,144.5,289,
02-Other Publications,INGRAM PUBLISHER SERVICES,261689,WHEN DID STATUE LBRTY TRN GRN?,37,9.3205,16.95,344.8585,627.15,
02-Other Publications,INGRAM PUBLISHER SERVICES,276220,NORTH BROTHER ISLAND,11,19.98,39.95,219.78,439.45,
02-Other Publications,INGRAM PUBLISHER SERVICES,273968,BLOOD RELATIONS CARIBBEAN,12,19.2,24,230.4,288,
02-Other Publications,INGRAM PUBLISHER SERVICES,260024,COMING TO AMERICA COOKBOOK,4,8.475,16.95,33.9,67.8,
Accessories,"SPECIALTIES PLUS OF NC, LLC",443154,FACE MASK 3 PACK,40,0.95,2,38,80,
04-Reproduction Items,HISTORICAL DOCUMENTS COMPANY,417813,PRINT TITANIC MENU,111,0.996,4.95,110.556,549.45,
04-Reproduction Items,HISTORICAL DOCUMENTS COMPANY,43472,DOC DEED STATUE LIBERTY 1884,73,0.9,4.95,65.7,361.35,
04-Reproduction Items,HISTORICAL DOCUMENTS COMPANY,40446,DOC FREEDOM SET OF 3,86,3.296,12.95,283.456,1113.7,
04-Reproduction Items,HISTORICAL DOCUMENTS COMPANY,417814,PRINT TITANIC STOCK CERT,88,0.941,4.95,82.808,435.6,
02-Other Publications,"W W NORTON & COMPANY, INC.",271907,THINKING PERSON GD NATIONAL PK,5,15.713,29.95,78.565,149.75,
02-Other Publications,"W W NORTON & COMPANY, INC.",274106,FOOD CITY,10,16.225,28.95,162.25,289.5,
02-Other Publications,"W W NORTON & COMPANY, INC.",274115,GREAT DEPARTURE,26,9.476,18.95,246.376,492.7,
02-Other Publications,"W W NORTON & COMPANY, INC.",260085,BREAD GIVERS A NOVEL,8,13.844,14.95,110.752,119.6,
02-Other Publications,"W W NORTON & COMPANY, INC.",273988,HIDDEN WATERS OF NYC,8,11.37,19.95,90.96,159.6,
02-Other Publications,CUP SERVICES,274116,BROOKLYN NOBODY KNO,1,14.22,24.95,14.22,24.95,
Passport,EASTERN NATIONAL,427314,2018 JR RANGER PSPRT STICKERS,30,0.82,3.95,24.6,118.5,
Paper Products,EASTERN NATIONAL,441126,WOOD STICKER SET 19TH AMEND,1,4.5,9.95,4.5,9.95,
02-Other Publications,"PETER PAUPER PRESS, INC.",273474,SCRATCH & SKETCH NATIONAL PARK,38,8.09,14.99,307.42,569.62,
02-Other Publications,"PETER PAUPER PRESS, INC.",276044,SCRATCH AND SKETCH NYC,59,8.09,14.99,477.31,884.41,
02-Other Publications,"PETER PAUPER PRESS, INC.",262149,TRAVEL SCRATCH & SKETCH,92,8.08,14.99,743.36,1379.08,
02-Other Publications,"PETER PAUPER PRESS, INC.",261690,SCRATCH AND SKETCH AMERICA ,66,8.064,14.99,532.224,989.34,
02-Other Publications,"PETER PAUPER PRESS, INC.",275211,AN ORAL HISTORY,20,7.01,12.99,140.2,259.8,
02-Other Publications,"PETER PAUPER PRESS, INC.",274587,OUR FAMILY TREE JOURNAL HD,4,8.091,14.99,32.364,59.96,
02-Other Publications,NATIONAL BOOK NETWORK,246443,POCKET TUTOR STATE FLAGS,15,3.975,7.95,59.625,119.25,
02-Other Publications,NATIONAL BOOK NETWORK,261692,DAILY LIFE IMGRNT AM 1870-1920,37,8.498,16.95,314.426,627.15,
02-Other Publications,NATIONAL BOOK NETWORK,274117,SECRET BROOKLYN,7,10.171,19.95,71.197,139.65,
02-Other Publications,NATIONAL BOOK NETWORK,272845,111 PLACES IN NY MUST NOT MISS,30,9.95,19.9,298.5,597,
Passport,THE CREATIVE PRINT GROUP. INC.,327379,PASSPORT EXPLORER,3,25.218,69.95,75.654,209.85,
Passport,THE CREATIVE PRINT GROUP. INC.,329184,PASSPORT EXPLORER EXPANDER PK,14,1.889,6.95,26.446,97.3,
Passport,THE CREATIVE PRINT GROUP. INC.,441794,PASSORT COLLECTORS EXPANDER PK,5,1.696,7.95,8.48,39.75,
Passport,THE CREATIVE PRINT GROUP. INC.,26000,PASSPORT COLLECTOR'S EDITION,48,8.2104,29.95,394.0992,1437.6,
12-EN Product,THE CREATIVE PRINT GROUP. INC.,274844,ANP PHOTO BOOK SOL,76,6.99,29.95,531.24,2276.2,
12-EN Product,THE CREATIVE PRINT GROUP. INC.,271491,TRN GET TO KNOW YOUR PARKS,30,0.84,4.95,25.2,148.5,
02-Other Publications,GARETH STEVENS PUBLISHING,272542,MY JOURNEY THR ELLIS ISLND PA,15,3.75,8.95,56.25,134.25,
Commemorative,POPCORN POSTERS,438283,MAGNET ACRYLIC CROWN,100,2.75,6.95,275,695,
Commemorative,POPCORN POSTERS,438279,MAGNET ACRYLIC TORCH,93,2.75,6.95,255.75,646.35,
Commemorative,POPCORN POSTERS,438280,MAGNET ACRYLIC STATUE,67,2.75,6.95,184.25,465.65,
Paper Products,POPCORN POSTERS,438287,NOTEBOOK BLUEPRINTS SOL 3 PACK,1,7.659,14.95,7.659,14.95,
Paper Products,MAINE ILLUSTRATED,387704,EURO DECAL ELLIS ISLAND,103,0.71,2.95,73.13,303.85,
Paper Products,MAINE ILLUSTRATED,387703,EURO DECAL STATUE OF LIBERTY,111,0.71,2.95,78.81,327.45,
11-Consignment,NATIONAL PARK TRUST,339620,BUDDY BISON,24,4.948,9.95,118.752,238.8,
Accessories,HORSEY BITS & CHARMS LLC,429040,EARRINGS STATUE OF LIBRTY HEAD,31,4,9.95,124,308.45,
Accessories,HORSEY BITS & CHARMS LLC,382968,WRISTBAND BISON,1,2.25,6.95,2.25,6.95,
Accessories,HORSEY BITS & CHARMS LLC,384731,NECKLACE LIBERTY,43,2,6.95,86,298.85,
Accessories,HORSEY BITS & CHARMS LLC,384732,BRACELET LIBERTY,49,1.75,6.95,85.75,340.55,
Accessories,HORSEY BITS & CHARMS LLC,386536,WRISTBAND STATUE LIBERTY HEAD,49,2,6.95,98,340.55,
Accessories,HORSEY BITS & CHARMS LLC,386537,NECKLACE STATUE LIBERTY HEAD,41,2.25,6.95,92.25,284.95,
Accessories,HORSEY BITS & CHARMS LLC,424609,NECKLACE ANNIE MOORE,45,4.25,9.95,191.25,447.75,
Accessories,HORSEY BITS & CHARMS LLC,424610,WRISTBAND ANNIE MOORE,40,4,9.95,160,398,
Accessories,HORSEY BITS & CHARMS LLC,429041,EARRINGS LIBERTY,38,3.5,9.95,133,378.1,
Accessories,HORSEY BITS & CHARMS LLC,429042,EARRINGS BISON,7,4.5,11.95,31.5,83.65,
Passport,HORSEY BITS & CHARMS LLC,425222,TRN WRISTBAND PASSPORT STAMP,10,2,7.95,20,79.5,
Accessories,HORSEY BITS & CHARMS LLC,386538,WRISTBAND FLAG,4,1,6.95,4,27.8,
Reusable Bags,S. WALTER PACKAGING CORPORATIO,424493,REUSABLE TOTES LARGE,663,0.34,0.92,225.42,609.96,
Reusable Bags,S. WALTER PACKAGING CORPORATIO,424492,REUSABLE TOTES MEDIUM,-1,0.26,0.69,-0.26,-0.69,
Passport,EAGLE RIVER DESIGNS INC,429829,PIN PASSPORT ELLIS ISLAND,56,2,5.95,112,333.2,
Passport,EAGLE RIVER DESIGNS INC,429830,PATCH PASSPORT ELLIS ISLAND,82,2,5.95,164,487.9,
Passport,EAGLE RIVER DESIGNS INC,429831,HIKE MEDAL PASSPORT ELIS,75,2.001,5.95,150.075,446.25,
Passport,EAGLE RIVER DESIGNS INC,425049,STICKY PATCHES S/3 PASSPORT,13,2.55,7.95,33.15,103.35,
Passport,EAGLE RIVER DESIGNS INC,423690,PIN PASSPORT CANCELLATION,55,1.803,5.95,99.165,327.25,
Passport,EAGLE RIVER DESIGNS INC,429832,PIN PASSPORT STATUE OF LIBERTY,100,2,5.95,200,595,
Passport,EAGLE RIVER DESIGNS INC,429834,HIKE MEDAL PASSPORT STLI,9,2.001,5.95,18.009,53.55,
Passport,EAGLE RIVER DESIGNS INC,429833,PATCH PASSPORT STATUE OF LIBER,97,2,5.95,194,577.15,
Toys & Games,OUTSET MEDIA CORPORATION,423368,GAME PROF NOGGINS WONDER WORLD,10,5,12.95,50,129.5,
02-Other Publications,"DOVER PUBLICATIONS, INC.",25945,CB STATUE OF LIBERTY,39,2.5,4.99,97.5,194.61,
02-Other Publications,"DOVER PUBLICATIONS, INC.",259933,HOW THE OTHER HALF LIVES,25,8.98,17.95,224.5,448.75,
02-Other Publications,"DOVER PUBLICATIONS, INC.",272541,BIG APPLE BRAIN BUSTERS,27,2.4964,4.99,67.4028,134.73,
02-Other Publications,"DOVER PUBLICATIONS, INC.",21156,MY FAMILY TREE WORKBOOK,21,2.48,4.95,52.08,103.95,
02-Other Publications,"DOVER PUBLICATIONS, INC.",274871,BRIDGES OF NEW YORK PA,11,9.983,19.95,109.813,219.45,
02-Other Publications,"DOVER PUBLICATIONS, INC.",259713,NY FOR KIDS 25 SITES COLOR,23,2,3.99,46,91.77,
02-Other Publications,"DOVER PUBLICATIONS, INC.",274870,MANHATTAN IN MAPS PA,21,14.9911,29.95,314.8131,628.95,
02-Other Publications,"DOVER PUBLICATIONS, INC.",275212,ESSAYS ON IMMIGRATION,49,2.5,5,122.5,245,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,244055,STATUE OF LIBERTY MAESTRO,22,4.101,7.99,90.222,175.78,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,259883,"BREAD AND ROSES, TOO",1,4.313,7.99,4.313,7.99,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,273324,TWENTY ONE ELEPHANTS STILL STN,2,9.967,17.99,19.934,35.98,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,273327,CELEBRATING NEW YORK,32,2.67,3.99,85.44,127.68,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,273325,EMMAS POEM - PA,33,4.312,7.99,142.296,263.67,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,260075,TREE GROWS IN BROOKLYN,19,9.5,19,180.5,361,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,262730,LA STORIA 5 CENT ITLN AMER EXP,29,9.995,19.99,289.855,579.71,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,262081,AMERICAN PASSAGE PA,52,8.995,17.99,467.74,935.48,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,261671,LONG WAY HOME PA,28,7.995,15.99,223.86,447.72,
02-Other Publications,HARPER COLLINS PUBLISHERS LLC,259947,COMING TO AMERICA 2ND EDIT PA,31,9.495,18.99,294.345,588.69,
02-Other Publications,CHICAGO DISTRIBUTION CENTER,274874,MIGRANT MARKETPLACES PA,3,24.213,34,72.639,102,
02-Other Publications,TRILITERAL LLC,252553,HUDSON PA,5,13.153,17,65.765,85,
02-Other Publications,INDEPENDENT PUBLISHERS GROUP,274111,CHRONICLES OF OLD NEW YORK,6,10.011,19.95,60.066,119.7,
Crafts & Hobbies,DBA DOWDLE FOLKART,438166,PUZZLE 3D NEW YORK CITY,34,12.5,24.95,425,848.3,
Crafts & Hobbies,DBA DOWDLE FOLKART,438167,PUZZLE 3D TIMES SQUARE,27,12.5,24.95,337.5,673.65,
Crafts & Hobbies,DBA DOWDLE FOLKART,438168,PUZZLE 500PC BEST OF NY,22,8.5,19.99,187,439.78,
Crafts & Hobbies,DBA DOWDLE FOLKART,438165,PUZZLE 3D STATUE OF LIBERTY,38,12.5,24.95,475,948.1,
Crafts & Hobbies,DBA DOWDLE FOLKART,438169,PUZZLE 1000PC NEW YORK,52,8.5,19.99,442,1039.48,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91219,GLASS ORNAMENT LIBERTY,72,3.007,8.95,216.504,644.4,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91217,COBALT ORNAMENT LIBERTY,127,3.001,8.95,381.127,1136.65,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91218,TEAL ORNAMENT LIBERTY,23,3.0097,8.95,69.2231,205.85,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91231,GLASS ORNAMENT ELLIS,153,2.881,8.95,440.793,1369.35,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91230,TEAL ORNAMENT ELLIS,23,2.951,8.95,67.873,205.85,
09-Jamestown Glass,EASTERN NATIONAL GLASSHOUSE,91229,COBALT ORNAMENT ELLIS,251,2.96,8.95,742.96,2246.45,
Passport,EASTERN NATIONAL GLASSHOUSE,91282,ORNAMENT PASSPORT COBALT,41,3.01,8.95,123.41,366.95,
Paper Products,WURLINGTON BROS. PRESS,368871,POSTCARD BROOKLYN BRIDGE,41,1,1.95,41,79.95,
Paper Products,WURLINGTON BROS. PRESS,368870,POSTCARD FLATIRON BUILDING,32,1,1.95,32,62.4,
Paper Products,WURLINGTON BROS. PRESS,371981,POSTCARD FEDERAL HALL ,57,1,1.95,57,111.15,
Paper Products,WURLINGTON BROS. PRESS,370547,POSTCARD WASHINGTON SQ ARCH,10,1,1.95,10,19.5,
Paper Products,WURLINGTON BROS. PRESS,368868,POSTCARD WOOLWORTH BUILDING,6,1,1.95,6,11.7,
Paper Products,WURLINGTON BROS. PRESS,368869,POSTCARD ONE WORLD TRADE,43,1,1.95,43,83.85,
